City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,285.93,95,8,2.13,AU,1619370634
Kapaa,22.0752,-159.319,296.15,78,75,5.14,US,1619370650
Isangel,-19.55,169.2667,298.12,81,100,4.61,VU,1619370667
Soyo,-6.1349,12.3689,299.94,79,47,3.35,AO,1619370672
Khani,41.9563,42.9566,286.15,76,75,4.63,GE,1619370673
Vostok,46.4856,135.8833,268.46,53,4,2.14,RU,1619370673
Provideniya,64.3833,-173.3,273.93,94,95,1.4,RU,1619370643
Cherskiy,68.75,161.3,254.99,98,98,1.99,RU,1619370668
Jamestown,42.097,-79.2353,283.71,81,90,4.63,US,1619370447
Rikitea,-23.1203,-134.9692,298.36,76,84,3.16,PF,1619370630
Djebeniana,35.035,10.9081,293.15,60,20,4.12,TN,1619370675
Klaksvík,62.2266,-6.589,281.15,93,100,5.66,FO,1619370676
Quatre Cocos,-20.2078,57.7625,298.71,88,75,5.66,MU,1619370676
Hereford,52.0568,-2.7148,287.04,55,20,2.24,GB,1619370677
Aklavik,68.2191,-135.0107,267.15,79,20,5.66,CA,1619370677
Maţāy,28.419,30.7792,305.25,16,0,9.63,EG,1619370678
Albany,42.6001,-73.9662,285.37,71,90,2.06,US,1619370457
Torbay,47.6666,-52.7314,284.82,40,20,8.75,CA,1619370678
Vaini,-21.2,-175.2,297.15,94,75,3.09,TO,1619370679
Bethel,41.3712,-73.414,283.71,85,100,2.26,US,1619370680
Cape Town,-33.9258,18.4232,293.71,88,0,7.72,ZA,1619370532
Avarua,-21.2078,-159.775,299.15,83,40,4.12,CK,1619370635
Bredasdorp,-34.5322,20.0403,289.15,82,100,1.54,ZA,1619370681
Bluff,-46.6,168.3333,278.71,82,76,3.13,NZ,1619370661
Chokurdakh,70.6333,147.9167,265.1,94,100,6.01,RU,1619370682
Butaritari,3.0707,172.7902,301.05,77,27,4.74,KI,1619370682
Ushuaia,-54.8,-68.3,286.15,50,75,7.72,AR,1619370536
